
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-05-23 19:44:53 / ........................................................................................ ~ 8s
  2026-05-23 19:46:07 / ........................................................................................ ~ 1s

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-05-23 21:05:19 /assets/livestock/cows-field.jpg ..................................................... ~ 0.62ms
  2026-05-23 21:05:19 /assets/brand/coming-soon-web.png .................................................... ~ 0.62ms
  2026-05-23 21:05:21 /categories/goats ........................................................................ ~ 1s
  2026-05-23 21:05:22 /assets/livestock/goat-real.jpg ...................................................... ~ 0.74ms
  2026-05-23 21:05:22 /assets/brand/logo-primary.png ....................................................... ~ 4.97ms
  2026-05-23 21:05:27 /categories/poultry ................................................................ ~ 508.25ms
  2026-05-23 21:05:27 /assets/brand/logo-primary.png ..................................................... ~ 514.15ms
  2026-05-23 21:05:28 /assets/livestock/chicken.jpg ........................................................ ~ 0.57ms
  2026-05-23 21:05:29 /categories/feeds .................................................................. ~ 509.75ms
  2026-05-23 21:05:30 /assets/livestock/cow-ayrshire.jpg ................................................... ~ 0.60ms
  2026-05-23 21:05:30 /assets/livestock/bull-real.jpg ...................................................... ~ 3.73ms
  2026-05-23 21:05:29 /assets/brand/logo-primary.png ..................................................... ~ 519.16ms
  2026-05-23 21:05:31 /about ................................................................................... ~ 1s
  2026-05-23 21:05:32 /assets/livestock/cow-ayrshire.jpg ................................................... ~ 0.53ms
  2026-05-23 21:05:31 /assets/brand/logo-primary.png ..................................................... ~ 513.38ms
  2026-05-23 21:05:37 /faq ............................................................................... ~ 510.04ms
  2026-05-23 21:05:37 /assets/brand/logo-primary.png ..................................................... ~ 513.79ms
  2026-05-23 21:05:42 /guide ............................................................................. ~ 577.60ms
  2026-05-23 21:05:42 /assets/brand/logo-primary.png ........................................................... ~ 1s
  2026-05-23 21:05:52 /admin/dashboard ......................................................................... ~ 2s
  2026-05-23 21:05:52 /admin/dashboard ......................................................................... ~ 2s
  2026-05-23 21:05:54 /assets/brand/logo-symbol.png ...................................................... ~ 511.13ms
  2026-05-23 21:06:00 /admin/dashboard ................................................................... ~ 520.37ms
  2026-05-23 21:06:00 /assets/brand/logo-symbol.png ...................................................... ~ 524.29ms
  2026-05-23 21:06:02 /admin/listings .......................................................................... ~ 1s
  2026-05-23 21:06:03 /assets/livestock/cow-ayrshire.jpg ................................................... ~ 0.68ms
  2026-05-23 21:06:03 /assets/brand/logo-symbol.png ........................................................ ~ 5.15ms
  2026-05-23 21:06:03 /assets/livestock/goat-real.jpg ...................................................... ~ 8.84ms
  2026-05-23 21:06:03 /assets/livestock/bull-real.jpg ..................................................... ~ 12.78ms
  2026-05-23 21:06:03 /assets/livestock/sheep-real.jpg .................................................... ~ 16.17ms
  2026-05-23 21:06:03 /assets/livestock/chicken.jpg ....................................................... ~ 30.40ms
  2026-05-23 21:06:07 /admin/users ............................................................................. ~ 1s
  2026-05-23 21:06:08 /assets/brand/logo-symbol.png ........................................................ ~ 0.74ms
  2026-05-23 21:06:10 /admin/access-requests ............................................................. ~ 506.67ms
  2026-05-23 21:06:10 /assets/brand/logo-symbol.png ............................................................ ~ 1s
  2026-05-23 21:06:15 /admin/categories ........................................................................ ~ 1s
  2026-05-23 21:06:16 /assets/brand/logo-symbol.png ........................................................ ~ 0.75ms
  2026-05-23 21:06:24 /admin/categories .................................................................. ~ 505.86ms
  2026-05-23 21:06:24 /assets/brand/logo-symbol.png ...................................................... ~ 512.17ms
  2026-05-23 21:06:30 /admin/reports ..................................................................... ~ 505.25ms
  2026-05-23 21:06:30 /assets/brand/logo-symbol.png ........................................................ ~ 6.42ms
  2026-05-23 21:06:33 /admin/featured .................................................................... ~ 510.85ms
  2026-05-23 21:06:34 /assets/livestock/cow-ayrshire.jpg ................................................... ~ 1.53ms
  2026-05-23 21:06:34 /assets/livestock/goat-real.jpg ...................................................... ~ 9.05ms
  2026-05-23 21:06:34 /assets/brand/logo-symbol.png ....................................................... ~ 14.19ms
